subj,item,condition,order,region,position,RT
4,4,b,SVO,7,-,404
4,4,b,SVO,8,-,790
4,4,b,SVO,?,1,1398
5,1,a,TSV,0,d1,364
5,1,a,TSV,1,np,375
5,1,a,TSV,2,adv1,365
5,1,a,TSV,3,d2,315
5,1,a,TSV,4,na,322
5,1,a,TSV,5,adv2,297
5,1,a,TSV,6,v,303
5,1,a,TSV,7,-,270
5,1,a,TSV,8,-,305
5,1,a,TSV,?,1,1220
5,6,b,SVO,0,adv1,356
5,6,b,SVO,1,d2,330
5,6,b,SVO,2,na,377
5,6,b,SVO,3,adv2,322
5,6,b,SVO,4,v,341
5,6,b,SVO,5,d1,384
5,6,b,SVO,6,np,280
5,6,b,SVO,7,-,248
5,6,b,SVO,8,-,272
5,6,b,SVO,?,1,4790
5,8,b,SVO,0,adv1,344
5,8,b,SVO,1,d2,339
5,8,b,SVO,2,na,305
5,8,b,SVO,3,adv2,371
5,8,b,SVO,4,v,311
5,8,b,SVO,5,d1,326
5,8,b,SVO,6,np,240
5,8,b,SVO,7,-,245
5,8,b,SVO,8,-,284
5,8,b,SVO,9,-,292
5,8,b,SVO,?,1,2007
5,5,a,TSV,0,d1,366
5,5,a,TSV,1,np,310
5,5,a,TSV,2,adv1,212
5,5,a,TSV,3,d2,295
5,5,a,TSV,4,na,265
5,5,a,TSV,5,adv2,449
5,5,a,TSV,6,v,273
5,5,a,TSV,7,-,325
5,5,a,TSV,8,-,305
5,5,a,TSV,9,-,291
5,5,a,TSV,?,1,1249
5,12,b,SVO,0,adv1,293
5,12,b,SVO,1,d2,231
5,12,b,SVO,2,na,225
5,12,b,SVO,3,adv2,192
5,12,b,SVO,4,v,235
5,12,b,SVO,5,d1,748
5,12,b,SVO,6,np,480
5,12,b,SVO,7,-,559
5,12,b,SVO,8,-,672
5,12,b,SVO,?,1,783
5,10,b,SVO,0,adv1,365
5,10,b,SVO,1,d2,581
5,10,b,SVO,2,na,522
5,10,b,SVO,3,adv2,479
5,10,b,SVO,4,v,311
5,10,b,SVO,5,d1,213
5,10,b,SVO,6,np,305
5,10,b,SVO,7,-,227
5,10,b,SVO,8,-,240
5,10,b,SVO,?,1,754
5,15,a,TSV,0,d1,325
5,15,a,TSV,1,np,330
