subj,item,condition,constituent,position,word,Q,RT
6,8,a,HN,17,_,-,445
6,8,a,ADV,18,__,-,414
6,8,a,quantifier,19,_,-,459
6,8,a,Main-V1,20,__,-,594
6,8,a,Main-V2,21,___,-,2003
6,8,a,,?,N,1,1786
6,12,a,comma,11,_,-,1758
6,12,a,DCL,12,__,-,543
6,12,a,DP,13,__,-,458
6,12,a,RC-V1,14,__,-,529
6,12,a,RC-V2,15,__,-,498
6,12,a,DE,16,_,-,758
6,12,a,HN,17,_,-,719
6,12,a,ADV,18,__,-,713
6,12,a,quantifier,19,_,-,485
6,12,a,Main-V1,20,__,-,563
6,12,a,Main-V2,21,___,-,724
6,12,a,,?,N,0,2248
6,16,a,comma,11,_,-,578
6,16,a,DCL,12,__,-,628
6,16,a,DP,13,__,-,643
6,16,a,RC-V1,14,__,-,1221
6,16,a,RC-V2,15,__,-,518
6,16,a,DE,16,_,-,550
6,16,a,HN,17,_,-,463
6,16,a,ADV,18,__,-,539
6,16,a,quantifier,19,_,-,459
6,16,a,Main-V1,20,__,-,415
6,16,a,Main-V2,21,___,-,510
6,16,a,,?,N,1,9752
6,20,a,comma,11,_,-,354
6,20,a,DCL,12,__,-,364
6,20,a,DP,13,__,-,379
6,20,a,RC-V1,14,__,-,602
6,20,a,RC-V2,15,__,-,339
6,20,a,DE,16,_,-,325
6,20,a,HN,17,_,-,489
6,20,a,ADV,18,__,-,400
6,20,a,quantifier,19,_,-,310
6,20,a,Main-V1,20,__,-,265
6,20,a,Main-V2,21,___,-,451
6,20,a,,?,N,1,1421
6,24,a,comma,11,_,-,418
6,24,a,DCL,12,__,-,653
6,24,a,DP,13,__,-,716
6,24,a,RC-V1,14,__,-,667
6,24,a,RC-V2,15,__,-,558
6,24,a,DE,16,_,-,574
6,24,a,HN,17,_,-,454
6,24,a,ADV,18,__,-,583
6,24,a,quantifier,19,_,-,559
6,24,a,Main-V1,20,__,-,649
6,24,a,Main-V2,21,___,-,1238
6,24,a,,?,Y,1,3304
7,3,a,comma,11,_,-,374
7,3,a,DCL,12,__,-,409
7,3,a,DP,13,__,-,413
7,3,a,RC-V1,14,__,-,429
7,3,a,RC-V2,15,__,-,388
7,3,a,DE,16,_,-,394
7,3,a,HN,17,_,-,380
7,3,a,ADV,18,__,-,370
7,3,a,quantifier,19,_,-,320
7,3,a,Main-V1,20,__,-,295
7,3,a,Main-V2,21,___,-,1048
7,3,a,,?,N,1,1770
7,7,a,comma,11,_,-,404
7,7,a,DCL,12,__,-,300
7,7,a,DP,13,__,-,315
7,7,a,RC-V1,14,__,-,338
7,7,a,RC-V2,15,__,-,394
7,7,a,DE,16,_,-,325
7,7,a,HN,17,_,-,275
7,7,a,ADV,18,__,-,270
7,7,a,quantifier,19,_,-,315
7,7,a,Main-V1,20,__,-,350
7,7,a,Main-V2,21,___,-,390
7,7,a,,?,N,1,1328
7,11,a,comma,11,_,-,354
7,11,a,DCL,12,__,-,290
7,11,a,DP,13,__,-,294
7,11,a,RC-V1,14,__,-,288
7,11,a,RC-V2,15,__,-,399
7,11,a,DE,16,_,-,265
7,11,a,HN,17,_,-,255
7,11,a,ADV,18,__,-,305
7,11,a,quantifier,19,_,-,260
7,11,a,Main-V1,20,__,-,270
7,11,a,Main-V2,21,___,-,410
7,11,a,,?,N,1,1845
7,15,a,comma,11,_,-,261
7,15,a,DCL,12,__,-,288
7,15,a,DP,13,__,-,384
7,15,a,RC-V1,14,__,-,344
7,15,a,RC-V2,15,__,-,359
7,15,a,DE,16,_,-,370
7,15,a,HN,17,_,-,336
7,15,a,ADV,18,__,-,334
7,15,a,quantifier,19,_,-,285
7,15,a,Main-V1,20,__,-,345
7,15,a,Main-V2,21,___,-,455
7,15,a,,?,Y,0,1542
7,19,a,comma,11,_,-,354
7,19,a,DCL,12,__,-,270
7,19,a,DP,13,__,-,333
7,19,a,RC-V1,14,__,-,359
7,19,a,RC-V2,15,__,-,315
7,19,a,DE,16,_,-,394
7,19,a,HN,17,_,-,296
7,19,a,ADV,18,__,-,369
7,19,a,quantifier,19,_,-,260
7,19,a,Main-V1,20,__,-,381
7,19,a,Main-V2,21,___,-,1690
7,19,a,,?,N,1,1068
7,23,a,comma,11,_,-,400
7,23,a,DCL,12,__,-,328
7,23,a,DP,13,__,-,324
7,23,a,RC-V1,14,__,-,338
7,23,a,RC-V2,15,__,-,306
7,23,a,DE,16,_,-,508
7,23,a,HN,17,_,-,329
7,23,a,ADV,18,__,-,271
7,23,a,quantifier,19,_,-,289
7,23,a,Main-V1,20,__,-,290
7,23,a,Main-V2,21,___,-,629
7,23,a,,?,N,1,1860
8,2,a,comma,11,_,-,284
8,2,a,DCL,12,__,-,349
8,2,a,DP,13,__,-,433
8,2,a,RC-V1,14,__,-,369
8,2,a,RC-V2,15,__,-,349
8,2,a,DE,16,_,-,305
8,2,a,HN,17,_,-,300
8,2,a,ADV,18,__,-,286
8,2,a,quantifier,19,_,-,339
8,2,a,Main-V1,20,__,-,330
8,2,a,Main-V2,21,___,-,380
8,2,a,,?,Y,1,1472
8,6,a,comma,11,_,-,583
8,6,a,DCL,12,__,-,484
8,6,a,DP,13,__,-,519
8,6,a,RC-V1,14,__,-,537
8,6,a,RC-V2,15,__,-,494
8,6,a,DE,16,_,-,429
8,6,a,HN,17,_,-,570
8,6,a,ADV,18,__,-,473
8,6,a,quantifier,19,_,-,460
8,6,a,Main-V1,20,__,-,508
8,6,a,Main-V2,21,___,-,684
8,6,a,,?,Y,1,2288
8,10,a,comma,11,_,-,394
8,10,a,DCL,12,__,-,373
8,10,a,DP,13,__,-,573
8,10,a,RC-V1,14,__,-,354
8,10,a,RC-V2,15,__,-,425
8,10,a,DE,16,_,-,418
8,10,a,HN,17,_,-,400
8,10,a,ADV,18,__,-,419
8,10,a,quantifier,19,_,-,355
8,10,a,Main-V1,20,__,-,345
8,10,a,Main-V2,21,___,-,530
8,10,a,,?,N,1,5670
8,14,a,comma,11,_,-,578
8,14,a,DCL,12,__,-,623
8,14,a,DP,13,__,-,622
8,14,a,RC-V1,14,__,-,585
8,14,a,RC-V2,15,__,-,637
8,14,a,DE,16,_,-,545
8,14,a,HN,17,_,-,648
8,14,a,ADV,18,__,-,484
8,14,a,quantifier,19,_,-,439
8,14,a,Main-V1,20,__,-,340
8,14,a,Main-V2,21,___,-,370
8,14,a,,?,Y,1,3633
8,18,a,comma,11,_,-,259
8,18,a,DCL,12,__,-,339
8,18,a,DP,13,__,-,359
8,18,a,RC-V1,14,__,-,349
8,18,a,RC-V2,15,__,-,410
8,18,a,DE,16,_,-,380
8,18,a,HN,17,_,-,289
8,18,a,ADV,18,__,-,280
8,18,a,quantifier,19,_,-,275
8,18,a,Main-V1,20,__,-,325
8,18,a,Main-V2,21,___,-,455
8,18,a,,?,Y,1,2094
8,22,a,comma,11,_,-,424
8,22,a,DCL,12,__,-,518
8,22,a,DP,13,__,-,409
8,22,a,RC-V1,14,__,-,454
8,22,a,RC-V2,15,__,-,429
8,22,a,DE,16,_,-,444
8,22,a,HN,17,_,-,365
8,22,a,ADV,18,__,-,385
8,22,a,quantifier,19,_,-,390
8,22,a,Main-V1,20,__,-,434
8,22,a,Main-V2,21,___,-,516
8,22,a,,?,N,1,2656
9,1,a,comma,11,_,-,244
9,1,a,DCL,12,__,-,370
9,1,a,DP,13,__,-,298
9,1,a,RC-V1,14,__,-,349
9,1,a,RC-V2,15,__,-,369
9,1,a,DE,16,_,-,306
9,1,a,HN,17,_,-,264
9,1,a,ADV,18,__,-,326
9,1,a,quantifier,19,_,-,305
9,1,a,Main-V1,20,__,-,359
9,1,a,Main-V2,21,___,-,1979
9,1,a,,?,Y,1,4410
9,5,a,comma,11,_,-,420
9,5,a,DCL,12,__,-,881
9,5,a,DP,13,__,-,484
9,5,a,RC-V1,14,__,-,970
9,5,a,RC-V2,15,__,-,325
9,5,a,DE,16,_,-,250
9,5,a,HN,17,_,-,220
9,5,a,ADV,18,__,-,220
9,5,a,quantifier,19,_,-,205
9,5,a,Main-V1,20,__,-,255
9,5,a,Main-V2,21,___,-,948
9,5,a,,?,Y,1,2049
9,9,a,comma,11,_,-,934
9,9,a,DCL,12,__,-,334
9,9,a,DP,13,__,-,493
9,9,a,RC-V1,14,__,-,379
9,9,a,RC-V2,15,__,-,408
9,9,a,DE,16,_,-,434
9,9,a,HN,17,_,-,384
9,9,a,ADV,18,__,-,335
9,9,a,quantifier,19,_,-,280
9,9,a,Main-V1,20,__,-,285
9,9,a,Main-V2,21,___,-,371
9,9,a,,?,Y,1,1989
9,13,a,comma,11,_,-,424
9,13,a,DCL,12,__,-,240
9,13,a,DP,13,__,-,225
9,13,a,RC-V1,14,__,-,204
9,13,a,RC-V2,15,__,-,197
9,13,a,DE,16,_,-,259
9,13,a,HN,17,_,-,284
9,13,a,ADV,18,__,-,235
9,13,a,quantifier,19,_,-,290
9,13,a,Main-V1,20,__,-,286
9,13,a,Main-V2,21,___,-,479
9,13,a,,?,N,1,6192
9,17,a,comma,11,_,-,449
9,17,a,DCL,12,__,-,249
9,17,a,DP,13,__,-,294
9,17,a,RC-V1,14,__,-,255
9,17,a,RC-V2,15,__,-,246
9,17,a,DE,16,_,-,248
9,17,a,HN,17,_,-,280
9,17,a,ADV,18,__,-,226
9,17,a,quantifier,19,_,-,230
9,17,a,Main-V1,20,__,-,220
9,17,a,Main-V2,21,___,-,241
9,17,a,,?,Y,1,2138
9,21,a,comma,11,_,-,1773
9,21,a,DCL,12,__,-,388
9,21,a,DP,13,__,-,325
9,21,a,RC-V1,14,__,-,259
9,21,a,RC-V2,15,__,-,313
9,21,a,DE,16,_,-,370
9,21,a,HN,17,_,-,295
9,21,a,ADV,18,__,-,265
9,21,a,quantifier,19,_,-,240
9,21,a,Main-V1,20,__,-,265
9,21,a,Main-V2,21,___,-,520
9,21,a,,?,Y,1,3544
10,4,a,comma,11,_,-,385
10,4,a,DCL,12,__,-,428
10,4,a,DP,13,__,-,364
10,4,a,RC-V1,14,__,-,533
10,4,a,RC-V2,15,__,-,563
10,4,a,DE,16,_,-,444
10,4,a,HN,17,_,-,439
10,4,a,ADV,18,__,-,420
10,4,a,quantifier,19,_,-,394
10,4,a,Main-V1,20,__,-,430
10,4,a,Main-V2,21,___,-,3906
10,4,a,,?,Y,1,5750
10,8,a,comma,11,_,-,648
10,8,a,DCL,12,__,-,867
10,8,a,DP,13,__,-,359
10,8,a,RC-V1,14,__,-,414
10,8,a,RC-V2,15,__,-,488
10,8,a,DE,16,_,-,395
10,8,a,HN,17,_,-,350
10,8,a,ADV,18,__,-,345
10,8,a,quantifier,19,_,-,390
10,8,a,Main-V1,20,__,-,410
10,8,a,Main-V2,21,___,-,540
10,8,a,,?,N,1,5386
10,12,a,comma,11,_,-,463
10,12,a,DCL,12,__,-,932
10,12,a,DP,13,__,-,523
10,12,a,RC-V1,14,__,-,534
10,12,a,RC-V2,15,__,-,463
10,12,a,DE,16,_,-,560
10,12,a,HN,17,_,-,892
10,12,a,ADV,18,__,-,1161
10,12,a,quantifier,19,_,-,559
10,12,a,Main-V1,20,__,-,535
10,12,a,Main-V2,21,___,-,1604
10,12,a,,?,Y,1,7174
10,16,a,comma,11,_,-,434
10,16,a,DCL,12,__,-,453
10,16,a,DP,13,__,-,494
10,16,a,RC-V1,14,__,-,508
10,16,a,RC-V2,15,__,-,812
10,16,a,DE,16,_,-,477
10,16,a,HN,17,_,-,424
10,16,a,ADV,18,__,-,604
10,16,a,quantifier,19,_,-,733
10,16,a,Main-V1,20,__,-,540
10,16,a,Main-V2,21,___,-,1683
10,16,a,,?,N,1,27266
10,20,a,comma,11,_,-,422
10,20,a,DCL,12,__,-,441
10,20,a,DP,13,__,-,429
10,20,a,RC-V1,14,__,-,368
10,20,a,RC-V2,15,__,-,403
10,20,a,DE,16,_,-,355
10,20,a,HN,17,_,-,370
10,20,a,ADV,18,__,-,370
10,20,a,quantifier,19,_,-,340
10,20,a,Main-V1,20,__,-,385
10,20,a,Main-V2,21,___,-,559
10,20,a,,?,N,1,3270
10,24,a,comma,11,_,-,339
10,24,a,DCL,12,__,-,364
10,24,a,DP,13,__,-,350
10,24,a,RC-V1,14,__,-,462
10,24,a,RC-V2,15,__,-,758
10,24,a,DE,16,_,-,375
10,24,a,HN,17,_,-,354
10,24,a,ADV,18,__,-,335
10,24,a,quantifier,19,_,-,364
10,24,a,Main-V1,20,__,-,375
10,24,a,Main-V2,21,___,-,759
10,24,a,,?,Y,1,4051
11,3,a,comma,11,_,-,291
11,3,a,DCL,12,__,-,289
11,3,a,DP,13,__,-,369
11,3,a,RC-V1,14,__,-,304
11,3,a,RC-V2,15,__,-,389
11,3,a,DE,16,_,-,340
11,3,a,HN,17,_,-,300
11,3,a,ADV,18,__,-,345
11,3,a,quantifier,19,_,-,315
11,3,a,Main-V1,20,__,-,336
11,3,a,Main-V2,21,___,-,1176
11,3,a,,?,N,1,1825
11,7,a,comma,11,_,-,275
11,7,a,DCL,12,__,-,443
11,7,a,DP,13,__,-,335
11,7,a,RC-V1,14,__,-,348
11,7,a,RC-V2,15,__,-,709
11,7,a,DE,16,_,-,796
11,7,a,HN,17,_,-,345
11,7,a,ADV,18,__,-,300
11,7,a,quantifier,19,_,-,325
11,7,a,Main-V1,20,__,-,325
11,7,a,Main-V2,21,___,-,600
11,7,a,,?,N,1,1876
11,11,a,comma,11,_,-,254
11,11,a,DCL,12,__,-,314
11,11,a,DP,13,__,-,329
11,11,a,RC-V1,14,__,-,319
