subj,item,condition,order,complexity,constituent,position,Q,RT
5,1,a,TSV,RC,Main-V2,21,-,888
5,1,a,TSV,RC,,?,1,2573
5,5,a,TSV,RC,comma,11,-,195
5,5,a,TSV,RC,DCL,12,-,230
5,5,a,TSV,RC,DP,13,-,214
5,5,a,TSV,RC,RC-V1,14,-,189
5,5,a,TSV,RC,RC-V2,15,-,200
5,5,a,TSV,RC,DE,16,-,245
5,5,a,TSV,RC,HN,17,-,235
5,5,a,TSV,RC,ADV,18,-,200
5,5,a,TSV,RC,quantifier,19,-,240
5,5,a,TSV,RC,Main-V1,20,-,286
5,5,a,TSV,RC,Main-V2,21,-,405
5,5,a,TSV,RC,,?,1,1312
5,9,a,TSV,RC,comma,11,-,240
5,9,a,TSV,RC,DCL,12,-,230
5,9,a,TSV,RC,DP,13,-,220
5,9,a,TSV,RC,RC-V1,14,-,214
5,9,a,TSV,RC,RC-V2,15,-,235
5,9,a,TSV,RC,DE,16,-,251
5,9,a,TSV,RC,HN,17,-,220
5,9,a,TSV,RC,ADV,18,-,230
5,9,a,TSV,RC,quantifier,19,-,255
5,9,a,TSV,RC,Main-V1,20,-,335
5,9,a,TSV,RC,Main-V2,21,-,260
5,9,a,TSV,RC,,?,1,2254
5,13,a,TSV,RC,comma,11,-,239
5,13,a,TSV,RC,DCL,12,-,235
5,13,a,TSV,RC,DP,13,-,229
5,13,a,TSV,RC,RC-V1,14,-,209
5,13,a,TSV,RC,RC-V2,15,-,180
5,13,a,TSV,RC,DE,16,-,205
5,13,a,TSV,RC,HN,17,-,141
5,13,a,TSV,RC,ADV,18,-,280
5,13,a,TSV,RC,quantifier,19,-,244
5,13,a,TSV,RC,Main-V1,20,-,191
5,13,a,TSV,RC,Main-V2,21,-,444
5,13,a,TSV,RC,,?,1,9136
5,17,a,TSV,RC,comma,11,-,199
5,17,a,TSV,RC,DCL,12,-,211
5,17,a,TSV,RC,DP,13,-,204
5,17,a,TSV,RC,RC-V1,14,-,180
5,17,a,TSV,RC,RC-V2,15,-,185
5,17,a,TSV,RC,DE,16,-,186
5,17,a,TSV,RC,HN,17,-,190
5,17,a,TSV,RC,ADV,18,-,210
5,17,a,TSV,RC,quantifier,19,-,365
5,17,a,TSV,RC,Main-V1,20,-,236
5,17,a,TSV,RC,Main-V2,21,-,509
5,17,a,TSV,RC,,?,1,1552
5,21,a,TSV,RC,comma,11,-,210
5,21,a,TSV,RC,DCL,12,-,239
5,21,a,TSV,RC,DP,13,-,224
5,21,a,TSV,RC,RC-V1,14,-,225
5,21,a,TSV,RC,RC-V2,15,-,244
5,21,a,TSV,RC,DE,16,-,241
5,21,a,TSV,RC,HN,17,-,215
5,21,a,TSV,RC,ADV,18,-,241
5,21,a,TSV,RC,quantifier,19,-,289
5,21,a,TSV,RC,Main-V1,20,-,246
5,21,a,TSV,RC,Main-V2,21,-,564
5,21,a,TSV,RC,,?,1,1732
6,4,a,TSV,RC,comma,11,-,234
6,4,a,TSV,RC,DCL,12,-,266
6,4,a,TSV,RC,DP,13,-,269
6,4,a,TSV,RC,RC-V1,14,-,334
6,4,a,TSV,RC,RC-V2,15,-,353
6,4,a,TSV,RC,DE,16,-,429
6,4,a,TSV,RC,HN,17,-,245
6,4,a,TSV,RC,ADV,18,-,240
6,4,a,TSV,RC,quantifier,19,-,235
6,4,a,TSV,RC,Main-V1,20,-,235
6,4,a,TSV,RC,Main-V2,21,-,579
6,4,a,TSV,RC,,?,1,4435
6,8,a,TSV,RC,comma,11,-,1409
6,8,a,TSV,RC,DCL,12,-,583
6,8,a,TSV,RC,DP,13,-,369
6,8,a,TSV,RC,RC-V1,14,-,424
6,8,a,TSV,RC,RC-V2,15,-,499
6,8,a,TSV,RC,DE,16,-,484
6,8,a,TSV,RC,HN,17,-,445
6,8,a,TSV,RC,ADV,18,-,414
6,8,a,TSV,RC,quantifier,19,-,459
6,8,a,TSV,RC,Main-V1,20,-,594
6,8,a,TSV,RC,Main-V2,21,-,2003
6,8,a,TSV,RC,,?,1,1786
6,12,a,TSV,RC,comma,11,-,1758
6,12,a,TSV,RC,DCL,12,-,543
6,12,a,TSV,RC,DP,13,-,458
6,12,a,TSV,RC,RC-V1,14,-,529
6,12,a,TSV,RC,RC-V2,15,-,498
6,12,a,TSV,RC,DE,16,-,758
6,12,a,TSV,RC,HN,17,-,719
6,12,a,TSV,RC,ADV,18,-,713
6,12,a,TSV,RC,quantifier,19,-,485
6,12,a,TSV,RC,Main-V1,20,-,563
6,12,a,TSV,RC,Main-V2,21,-,724
6,12,a,TSV,RC,,?,0,2248
6,16,a,TSV,RC,comma,11,-,578
6,16,a,TSV,RC,DCL,12,-,628
6,16,a,TSV,RC,DP,13,-,643
6,16,a,TSV,RC,RC-V1,14,-,1221
6,16,a,TSV,RC,RC-V2,15,-,518
6,16,a,TSV,RC,DE,16,-,550
6,16,a,TSV,RC,HN,17,-,463
6,16,a,TSV,RC,ADV,18,-,539
6,16,a,TSV,RC,quantifier,19,-,459
6,16,a,TSV,RC,Main-V1,20,-,415
6,16,a,TSV,RC,Main-V2,21,-,510
6,16,a,TSV,RC,,?,1,9752
6,20,a,TSV,RC,comma,11,-,354
6,20,a,TSV,RC,DCL,12,-,364
6,20,a,TSV,RC,DP,13,-,379
6,20,a,TSV,RC,RC-V1,14,-,602
6,20,a,TSV,RC,RC-V2,15,-,339
6,20,a,TSV,RC,DE,16,-,325
